"P_SYS_ID","P_QSTNR_SK","P_QSTNR_TY_CD","P_QSTNR_OCC_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276788,1639925,"40",01-JAN-00,10,"guestUser",17-APR-13 08.18.46.915000000 AM,"guestUser",10-APR-13 09.59.59.067000000 AM
1276788,1639926,"28",31-DEC-99,10,"GUESTUSER",17-APR-13 08.18.46.915000000 AM,"GUESTUSER",10-APR-13 09.59.59.068000000 AM
1276788,1639927,"38",01-JAN-00,10,"guestUser",17-APR-13 08.18.46.914000000 AM,"guestUser",10-APR-13 09.59.59.068000000 AM
1276787,1640099,"18",01-JAN-00,16,"guestUser",05-DEC-13 09.18.48.398000000 AM,"guestUser",10-APR-13 10.27.31.264000000 AM
1276787,1640100,"06",01-JAN-00,16,"guestUser",05-DEC-13 09.18.48.398000000 AM,"guestUser",10-APR-13 10.27.31.265000000 AM
1276787,1640101,"19",01-JAN-00,16,"guestUser",05-DEC-13 09.18.48.397000000 AM,"guestUser",10-APR-13 10.27.31.265000000 AM
1276787,1640102,"20",01-JAN-00,16,"guestUser",05-DEC-13 09.18.48.397000000 AM,"guestUser",10-APR-13 10.27.31.265000000 AM
1276787,1640103,"21",01-JAN-00,16,"guestUser",05-DEC-13 09.18.48.397000000 AM,"guestUser",10-APR-13 10.27.31.266000000 AM
1276787,1640104,"22",01-JAN-00,16,"guestUser",05-DEC-13 09.18.48.396000000 AM,"guestUser",10-APR-13 10.27.31.266000000 AM
1276787,1640105,"23",01-JAN-00,16,"guestUser",05-DEC-13 09.18.48.395000000 AM,"guestUser",10-APR-13 10.27.31.266000000 AM
1276787,1640106,"24",01-JAN-00,16,"guestUser",05-DEC-13 09.18.48.399000000 AM,"guestUser",10-APR-13 10.27.31.266000000 AM
1276793,1640128,"40",01-JAN-00,16,"guestUser",10-APR-13 02.18.23.828000000 PM,"guestUser",10-APR-13 10.34.50.855000000 AM
1276797,1640226,"32",01-JAN-00,4,"GUESTUSER",10-APR-13 01.40.06.724000000 PM,"GUESTUSER",10-APR-13 01.34.34.758000000 PM
1276797,1640227,"31",01-JAN-00,4,"GUESTUSER",10-APR-13 01.40.06.723000000 PM,"GUESTUSER",10-APR-13 01.34.34.758000000 PM
1276797,1640228,"30",01-JAN-00,4,"GUESTUSER",10-APR-13 01.40.06.723000000 PM,"GUESTUSER",10-APR-13 01.34.34.758000000 PM
1276797,1640229,"29",01-JAN-00,4,"GUESTUSER",10-APR-13 01.40.06.727000000 PM,"GUESTUSER",10-APR-13 01.34.34.759000000 PM
1276797,1640230,"07",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.023000000 PM,"guestUser",10-APR-13 01.34.34.759000000 PM
1276797,1640231,"08",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.023000000 PM,"guestUser",10-APR-13 01.34.34.759000000 PM
1276797,1640232,"26",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.022000000 PM,"guestUser",10-APR-13 01.34.34.761000000 PM
1276797,1640233,"25",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.021000000 PM,"guestUser",10-APR-13 01.34.34.762000000 PM
1276797,1640234,"02",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.021000000 PM,"guestUser",10-APR-13 01.34.34.762000000 PM
1276797,1640235,"16",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.021000000 PM,"guestUser",10-APR-13 01.34.34.762000000 PM
1276797,1640236,"17",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.021000000 PM,"guestUser",10-APR-13 01.34.34.762000000 PM
1276797,1640237,"18",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.020000000 PM,"guestUser",10-APR-13 01.34.34.763000000 PM
1276797,1640238,"06",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.020000000 PM,"guestUser",10-APR-13 01.34.34.763000000 PM
1276797,1640239,"19",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.020000000 PM,"guestUser",10-APR-13 01.34.34.763000000 PM
1276797,1640240,"20",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.023000000 PM,"guestUser",10-APR-13 01.34.34.763000000 PM
1276797,1640241,"21",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.023000000 PM,"guestUser",10-APR-13 01.34.34.763000000 PM
1276797,1640242,"22",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.022000000 PM,"guestUser",10-APR-13 01.34.34.764000000 PM
1276797,1640243,"23",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.022000000 PM,"guestUser",10-APR-13 01.34.34.764000000 PM
1276797,1640244,"24",01-JAN-00,23,"guestUser",10-APR-13 03.04.30.022000000 PM,"guestUser",10-APR-13 01.34.34.764000000 PM
1276799,1640333,"38",01-JAN-00,19,"guestUser",10-APR-13 04.04.07.139000000 PM,"guestUser",10-APR-13 03.10.57.907000000 PM
1276799,1640334,"40",01-JAN-00,19,"guestUser",10-APR-13 04.04.07.138000000 PM,"guestUser",10-APR-13 03.10.57.907000000 PM
1276800,1640357,"38",01-JAN-00,5,"guestUser",10-APR-13 04.28.12.553000000 PM,"guestUser",10-APR-13 03.16.10.006000000 PM
1276800,1640358,"40",01-JAN-00,5,"guestUser",10-APR-13 04.28.12.552000000 PM,"guestUser",10-APR-13 03.16.10.007000000 PM
1276789,1640363,"36",31-DEC-99,9,"GUESTUSER",23-APR-13 12.46.37.806000000 PM,"GUESTUSER",10-APR-13 03.32.38.881000000 PM
1276789,1640364,"33",31-DEC-99,9,"GUESTUSER",23-APR-13 12.46.37.808000000 PM,"GUESTUSER",10-APR-13 03.32.38.881000000 PM
1276794,1640541,"26",01-JAN-00,27,"GUESTUSER",14-JUL-14 01.57.54.343000000 PM,"GUESTUSER",11-APR-13 10.14.32.471000000 AM
1276794,1640542,"25",01-JAN-00,27,"GUESTUSER",14-JUL-14 01.57.54.342000000 PM,"GUESTUSER",11-APR-13 10.14.32.473000000 AM
